name,time,tweet
snsandyihb6,Fri Sep 07 15:02:33 +0000 2018,"@serenawilliams @OlympiaOhanian You are gonna win u champ,  every time u play in grandslam, it's given, nothing holds u back. Now just go grab that milestone 🏆 #USOPEN #JustDoIt"
AyoSalisu,Fri Sep 07 15:02:15 +0000 2018,@realDonaldTrump They where thinking #JustDoIt
SpoutingO,Fri Sep 07 15:02:10 +0000 2018,A better campaign to improve society.  #JustDoIt https://t.co/zumcqETCyw
ResistingExGOP,Fri Sep 07 15:01:46 +0000 2018,"Awesome Nike commercial! I’m inspired! You should be, too! #JustDoIt https://t.co/4dkkTERKZH"
gigialford,Fri Sep 07 15:01:40 +0000 2018,2018--the year @Nike chose @Kaepernick7 as the face of #JustDoIt--is 50 yrs since the iconic human rights salute at the 1968 Mexico City Olympics.  This article on athlete activism by @WorldPlayersUtd ED @BrendanSchwab shows what has &amp; hasn't changed in the past 1/2 century ✊🏿 https://t.co/SPSRGD9HWO
Nickalina_xo,Fri Sep 07 15:01:20 +0000 2018,I 100% support Nike for what they are doing and standing for . Y’all looking so dumb cutting and burning your already paid for clothes ... #JustDoIt
UltraYOUwoman,Fri Sep 07 15:01:12 +0000 2018,They increase fat. #justdoit #noexcuses #fitness https://t.co/1Y0JXzQjyM
MissApropos,Fri Sep 07 15:01:01 +0000 2018,@Thomas1774Paine #JustDoIt DO IT! I DARE THEM! THEY WILL GET THEIR ASSES HANDED TO THEM ON A SILVER PLATTER BY PRESIDENT TRUMP! DO IT!
xunilpenguin,Fri Sep 07 15:00:57 +0000 2018,Where are all the videos of people burning their Mustangs and F-150's ?   #JustDoIt #DumbAssRednecks
EbenezerAME,Fri Sep 07 15:00:49 +0000 2018,"Let’s do it. It’s #NIKESunday at Ebenezer this Sunday!
Wear your #NIKE gear.
#JustDoIt #MyEbenezer https://t.co/7TXmw0NfwM"
FTPeVeVe,Fri Sep 07 15:00:40 +0000 2018,"Anononomus found its soulmate. What is this guy talking about? 100 miles in ten minutes ? #JustDoIt 
Hilarious and he lives in 
OUR WHITE HOUSE ?
Do you believe that? 
@JustWhatNowWhy https://t.co/SmAUsTdAS7"
claucastro,Fri Sep 07 15:00:36 +0000 2018,No matter what you think on the Colin background. This is AMAZING! So inspiring @Nike  @Kaepernick7 Thank You! #watchit #Nike #JustDoIt https://t.co/3nVBWU6Q1w
TheTrueFury,Fri Sep 07 15:00:32 +0000 2018,#JustDoIt #JustDontDoit #thanosdidnothingwrong seen it done already but the ones I saw lacked the logo. https://t.co/cW9hgPYLvI
its_Novl,Fri Sep 07 15:00:30 +0000 2018,"I had to do it. 

#NikeAd 
#JustDoIt https://t.co/3V3nuuWOOC"
CognacPapi82,Fri Sep 07 15:00:21 +0000 2018,"@ShannonSharpe y'all talk about #TomBrady liking Lebron's, CP3, &amp; Kevin Durant's post about @Kaepernick7 Nike campaign, but what would've been more impressive is if #TB12 would've reposted that same post on his Instagram page...... #TB12 saving face.... #JustDoIt #StandWithKap"
titolo_shop,Fri Sep 07 15:00:11 +0000 2018,"#summersale! ⭐

Nike Air Jordan 1 Retro High Og - Hyper Royal/Sail
to the webSHOP 👉🏻 https://t.co/7DSxuYZh6U

#jdi #justdoit #nike #airforce1 #airforce #sale #sales #summersale #endofsummersale https://t.co/ogt3EV6LKt"
Preadn,Fri Sep 07 15:00:01 +0000 2018,"I keep seeing a story floating around about how @Nike lost 3.75B after announcing the #JustDoIt campaign. Every article on the subject says that their market cap was at 131.15B the day before. I'm no mathematician, but doesn't that break down to something like .03%?"
HALU_DUO,Fri Sep 07 14:59:57 +0000 2018,"Cool brand message.
#justdoit #Nike https://t.co/7qI00y8akj"
poitrain7,Fri Sep 07 14:59:51 +0000 2018,@FoxNews @Nike Nooooo!!!! Not the College of the Ozarks!!! Not sure #Nike will be able to recover.... #justdoit #dreamcrazy
ConanKarl,Fri Sep 07 14:59:24 +0000 2018,They was thinking #justDoIt https://t.co/ClCh29VhBw
ReginaTrouble,Fri Sep 07 14:59:13 +0000 2018,"MiLes * 10th grade * 
Just Doing It ‼️back to sKooL kicks ✊🏾
.
.
.
.
.
#backTOschool #nike #justdoit #airmax @nike @kaepernick7 @yourrightscamp #imwithkap #happy #blackboyjoy #kapernick @… https://t.co/pTIL0MOYkp"
datcoutureblond,Fri Sep 07 14:59:04 +0000 2018,😂😂😂 This realtor was smart to use the traction of the @Nike ad campaign for his benefit! And it’s really funny! #justdoit #justlistit https://t.co/jwmHsS65VL
fMerotto,Fri Sep 07 14:58:28 +0000 2018,"#JustDoIt, #Ciano! 

#Veneto  

Credits https://t.co/whWlUVH8Fm https://t.co/JlS3GtUaPG"
Duraginho,Fri Sep 07 14:58:17 +0000 2018,"Believe in your waves, hair grease, velvet durag, wild boar brush and after sacrificing everything you will have your very own ocean. 

This has been a paid partnership with Nike. 

#justdoit✔️ https://t.co/h0ne34Mtbe"
krosschicago,Fri Sep 07 14:57:31 +0000 2018,Always been my motto. Happy Friday......#GeoffreyOwens #CosbyShow #TraderJoes #actor #teacher #worker #winner #focused #committed #sacrifice #JustDoIt https://t.co/qmHwCUbAMr
MikeTheStove,Fri Sep 07 14:57:29 +0000 2018,"@realDonaldTrump My work just bought us all new work shirts that are made by @Nike .

We wear them proudly! #JustDoIt"
Meatrecruiter,Fri Sep 07 14:57:22 +0000 2018,@Nike #justdoit LOL!!!!!!!!!!! NFL Season Opener Ratings Crash To Multi-Year Low...https://t.co/EsRWmcv79C
nahlaw,Fri Sep 07 14:57:21 +0000 2018,"@thehill College of the Ozarks?  only half of the 1,500 students graduate. Missouri State is nearby in Brad Pitt's hometown. #JustDoIt"
MRfeedURsoul,Fri Sep 07 14:57:16 +0000 2018,"Love This!!! Become The Greatest Ever! #JustDoIt #Nike 🔥🔥🔥🔥🔥👀🤨✊🏼✊🏾✊🏿😂😂😂😂 #30thAnniversary #ColinKaepernick #SerenaWilliams #LeBronJames #fURs #NuDrēm #SOULfood #SOULmusic #TheCulture #ImWithKap #TakeAKnee #NFL #DonaldTrump #MotivateU 
https://t.co/W6MyRLPvDt"
Latinmagic64,Fri Sep 07 14:57:12 +0000 2018,@ricky_martin My crazy dreams have become reality cos I was crazy enough to #justdoit 😍
SEXYJYE55,Fri Sep 07 14:57:06 +0000 2018,@tgirlmiller @realDonaldTrump I'm thinking you should STOP doing meth and sleeping with horses I knew you looked familiar #gonike #justdoit
sistermoon73,Fri Sep 07 14:56:54 +0000 2018,@realDonaldTrump I'm an Adidas girl but I'm gonna buy Nike! #ck #TakeAKnee #JustDoIt
bonsaidream,Fri Sep 07 14:56:39 +0000 2018,#BringIt #JustDoIt  Be willing to Sacrifice Everything
TravelBugsWorld,Fri Sep 07 14:56:32 +0000 2018,"@CancerRoadTrip Perhaps start in Porto, Portugal with a Duoro River cruise? 😀
but we don't need an excuse 🙏 #JustDoIt #Travel #traveltribe"
cnicolaou74,Fri Sep 07 14:56:13 +0000 2018,And it is because of comments and biases like this that the black lives matter movement was born. #stopthehate #JustDoIt #beontherightsideofhistory #TakeAKnee https://t.co/BBNF1QekJJ
_Haris_sAys,Fri Sep 07 14:56:13 +0000 2018,Don’t ask if your dreams are crazy.. Ask if they’re crazy enough...🙄😃 #justdoit 😎
nowthatsdusty,Fri Sep 07 14:55:59 +0000 2018,"Nike being accused of using sweatshops since the 70s? No problem! 

Nike promotes athlete who doesn’t stand for national anthem. Burn all the shoes! Boycott Nike! 

This is why aliens don’t say hi. 

#BoycottNikeJustDoIt #ColinKapernick #JustDoIt #NikeBoycott"
Keanna_Sharron,Fri Sep 07 14:55:53 +0000 2018,STOP COMPLAINING ABOUT EVERYTHING YA BUNCH OF CRY BABIES... there is literally no satisfying you guys! Y’all always want more more more!!! #JustDoIt #IDONTstandwithKap https://t.co/BO7wHMBU0x
ksdpgh81,Fri Sep 07 14:55:10 +0000 2018,@richarddeitsch @ScottHanson @liam_mchugh Just got these @Nike shoes delivered yesterday!  I’m ordering some more Nike gear today.  I’m with @Kaepernick7!  #JustDoIt https://t.co/qUMvjmDk33
RingdeBell,Fri Sep 07 14:54:58 +0000 2018,"If I told you a fan made this, you wouldn't believe me. Powerful stuff. #RingDeBell #Nike #JustDoIt https://t.co/3JBjwaIqye"
400rabbitstweet,Fri Sep 07 14:54:52 +0000 2018,#justdoit✔️ @ Four Hundred Rabbits https://t.co/okYd57Phfw
adp7873,Fri Sep 07 14:54:43 +0000 2018,Always dream big @Shaquemgriffin #DreamBig #JustDoIt https://t.co/iS4f6YDsGT
lonewonder,Fri Sep 07 14:54:38 +0000 2018,Even fewer sill get this. #nike #justdoit https://t.co/MrxpJHxTVb
BeckyMcDRandF,Fri Sep 07 14:54:30 +0000 2018,#dermarolling works y’all. Put Rodan + Fields patented and FDA approved Amp Md system to work for your skin. #JustDoIt #skincare #beauty https://t.co/hRIemHAL3A
chadjardine,Fri Sep 07 14:54:15 +0000 2018,So much irony that @nike is taking a page from @realdonaldtrump's playbook—that all news is ultimately good news. Impressive what they themselves chose to unwittingly #sacrifice #earnedmedia #nikeboycott #justdoit https://t.co/24IhpQgkSa https://t.co/HZNKnFhPQL
DelivKnox,Fri Sep 07 14:54:14 +0000 2018,"The original. mahmoudar123 #nike #justdoit #justice @ Los Angeles, California https://t.co/xOHRNQ7scE"
LOUISR4EVER,Fri Sep 07 14:54:12 +0000 2018,"However Made this 
I love you ! #justdoit #nike#fucktrump#lovetrumpshate @ Washington Square (Philadelphia) https://t.co/Qs70jL0Muc"
SEXYJYE55,Fri Sep 07 14:54:01 +0000 2018,@realDonaldTrump They where thinking we about to be UNIFIED in the new world #politesociety and you'll be stuck in your racist terroristic brainwashing ways that just isn't what America is all about. #Nike #justdoit #hiremenike
CulturePacifist,Fri Sep 07 14:54:01 +0000 2018,"Nike was probably thinking that making @Kaepernick7 part of the #JustDoIt campaign would drive more sales than it would drive away, and that kneeling (a sign of respect) during the anthem is not, in fact, tantamount to spitting in the face of vets. Mocking POW's, by contrast... https://t.co/16hTXGzvei"
yourearex,Fri Sep 07 14:53:58 +0000 2018,"@realDonaldTrump Nike is way smarter than you and know what they’re doing.  They couldn’t care less about what a POS president has to say about them.
#justdoit
#IKneelwithkap
#Istandwithnike
@Nike"
CalemAnnk,Fri Sep 07 14:53:57 +0000 2018,"@ProfessorF Data does not matter when ideology is in play. You have to stand against &lt;insert bad thing here&gt;.

But who would ever oppose someone that is protesting police brutality, racism &amp; discrimination, right? There can't be anything wrong with these causes, right?

#JustDoIt https://t.co/MqrqhmwTqf"
vickiwiltshire,Fri Sep 07 14:53:31 +0000 2018,"@realDonaldTrump Please. Please. Mr President
#Justdoit!!!!   #MAGA2020!!"
onewildtweet,Fri Sep 07 14:53:27 +0000 2018,Kap' is one of the faces of @Nike's 30th anniversary 'Just Do It' campaign that encourages people to pride themselves on what makes them different and #JustDoIt #Kaepernick
Sadiqueone,Fri Sep 07 14:53:20 +0000 2018,"The Galaxy is yours... 
Will you take it for yourself or 
Will you let someone else? 
#Justdoit
#TGIF"
RocstaYoung,Fri Sep 07 14:53:19 +0000 2018,@Nike we still by you always stand for greatness...fall 4 nothing #JustDoIt #nike
BarbBae,Fri Sep 07 14:53:11 +0000 2018,"@ChuckGrassley as @SenBooker said and begged you to do...., sanction them!
#JustDoIt
https://t.co/PmJJECF3Y6"
bewdie,Fri Sep 07 14:52:57 +0000 2018,"#BrandPurpose : illustration avec la pub ""Dream Crazy"" de #Nike
""Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoit""
https://t.co/lPuAOXyuRC"
stephdowns39,Fri Sep 07 14:52:55 +0000 2018,@spiritsatin How OLD are those Nikes??? #justdoit #justbuynewones
jcalvarez,Fri Sep 07 14:52:50 +0000 2018,Hey America @nike #JustDoIt https://t.co/X1ObGvt8PC
Styled_events,Fri Sep 07 14:52:43 +0000 2018,"We are now scheduling the 2019-2020 season, but still have spaces left. Call 954-384-8703 or message us for an appointment in the studio to discuss your upcoming event. 
We ❤ making our clients happy! If you can make someone happy...just do it! 
Happy Weekend! #justdoit https://t.co/Sa7kaCezSS"
LifeLoveHappin3,Fri Sep 07 14:52:26 +0000 2018,Just breath you can do it #JustDoIt #justbelieve https://t.co/DfWpcDE4Wi
WilliamConboy,Fri Sep 07 14:52:20 +0000 2018,"It seems #Nike have officially broken the ad industry. With that tweet, there could be no better actual response. Bravo #JustDoIt https://t.co/BVuVHtSuay"
lonewonder,Fri Sep 07 14:52:17 +0000 2018,I agree with this one. #nike #justdoit https://t.co/zXFOf8LUJa
TheNeuVintage,Fri Sep 07 14:52:16 +0000 2018,"Scoopity poop™️
#JustDoIt"
syvn43,Fri Sep 07 14:52:09 +0000 2018,"@tgirlmiller @realDonaldTrump I am not a loyal Nike customer, but NOW I will start buying more of Nike products #respect #nike #JustDoIt"
PipperIsHyper,Fri Sep 07 14:52:01 +0000 2018,IM LIVING FOR THIS #NIKE #JUSTDOIT #NikeForever https://t.co/seesB4YjbU
lonewonder,Fri Sep 07 14:51:42 +0000 2018,General Mattis....For...The...Win #nike #justdoit https://t.co/IrLwF4Xjlo
ForzaNoPasaran,Fri Sep 07 14:51:41 +0000 2018,@Nike just got destroyed. #JustDoIt https://t.co/cLIHDt1uiQ
GulagGrogShoppe,Fri Sep 07 14:51:37 +0000 2018,Amen #JustDoIt https://t.co/mgGQLwkwQf
macroscoach,Fri Sep 07 14:51:03 +0000 2018,"Another one 🤣🤣🤣🤣 

#NIKE #JustDoIt https://t.co/Motth9YlZi"
BigBossDJB,Fri Sep 07 14:50:46 +0000 2018,When you can’t dance but the one girl you’ve always wanted finally gives you that chance #JustDoIt https://t.co/clFD3VMgOz
Ticky_O,Fri Sep 07 14:50:27 +0000 2018,@P_Ngulu Hehehe Nike told me #JustDoIt ✔️
JHCanavan,Fri Sep 07 14:49:37 +0000 2018,"Do something GOOD! #nike #veterans #homeless #justdoit @ Los Angeles, California https://t.co/ZahoUWriCA"
LeDonnePrime2,Fri Sep 07 14:49:26 +0000 2018,#JUSTDOIT Design your own Nike Air VaporMax Flyknit 2 iD Running Shoes!  These are my new @Nike kicks 👟#OnOrder https://t.co/5XDaZ6sEMA
MattiaMontuoro,Fri Sep 07 14:49:10 +0000 2018,This one is pretty funny! #Nike #JustDoIt #BeliveInThomthin #Tyson https://t.co/BQauCo8Rbm
the_akan,Fri Sep 07 14:49:07 +0000 2018,So we tried the #justdoit campaign to inspire creatives who are broke and jobless but still has faith in that one great idea #comics #muks #akantimekeepers #african #script #colinkaepernick #fun #part-two #dope #art https://t.co/FaS4Dy1C4H
pReTTiEsTpRBLm,Fri Sep 07 14:49:01 +0000 2018,"Now that I’m making political statements in my @Nike gear, I dare nan one to even think about looking sideways this way. 👀👀✊🏿✊🏿✊🏿😜

#Nike has always been a boss. #JustDoIt… https://t.co/ik0pMJ6sOc"
MARiADRo,Fri Sep 07 14:48:09 +0000 2018,"when im a drama queen! #morning #friyay #justdoit✔️ #itmustvebeenlove #acting #snapping #pointynails #greek #imthatbitch #vernonvillain @ New York, New York https://t.co/IhnIsR7kPN"
TheFreshmatic,Fri Sep 07 14:47:45 +0000 2018,@Nike y’all lucky y’all my people cause I was smooth bout to switch up the swag but gotta invest and support #JustDoIt
norlaskan,Fri Sep 07 14:47:33 +0000 2018,"@Always_On_Watch @realDonaldTrump What’s up with your Rosie the Riveter pic? She is the symbol of equality for women and workers’ rights. She represents EQUALITY. Like Kaepernick. 

#TakeAKnee #JustDoIt   #BlackLivesMatter"
bryanhayes67,Fri Sep 07 14:47:22 +0000 2018,"""What was @nike thinking""? 
Someone asked today
This is what @nike knew 👇

#UnChanged 
#JustDoIt https://t.co/nJvPbX0HQL"
Dr_TripleKs,Fri Sep 07 14:47:06 +0000 2018,"If you are burning your Nike while on your feet, I hope you can stand with your stupid ass for the anthem with those charred ass feet you got now. #Nike #JustDoIt"
majnum,Fri Sep 07 14:47:01 +0000 2018,Well just #MAGA #BoycottNike #JustDoIt and #TakeAKnee @realDonaldTrump #ImLovingIt https://t.co/w3T9GlFWh6
lipstick_cognac,Fri Sep 07 14:47:00 +0000 2018,@Nike #justdoit #lipstickandcognac #lipstickandcognacDAY @RollingOut #rollingoutLIVE ! Every Tuesday from 4pm-5pm EST! https://t.co/qpdhR2Iqpw
Lara_Cossu,Fri Sep 07 14:46:46 +0000 2018,Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #JustDoIt 👊🏻 https://t.co/TFMHdiVE6R
CKPremierBall,Fri Sep 07 14:46:42 +0000 2018,"2023 Mia Alvarado (Lubbock, TX) is locked in for the Rize Above The Rest/Fresh Faces ID camp!
Open to 6th grade thru 12th graders.
#rizeabovetherestcombine #gemsinthegym #freshfaces #goodgemhunting #justdoit https://t.co/TlmKUzjuiM"
vikings66696669,Fri Sep 07 14:46:22 +0000 2018,#Nike #JustDoIt #JustDoIt memes https://t.co/LSrUMSEbJQ
the_akan,Fri Sep 07 14:46:22 +0000 2018,So we tried the #justdoit campaign to inspire creatives who are broke and jobless but still has faith in that one great idea #comics #muks #akantimekeepers #african #script #colinkaepernick #fun #dope #art https://t.co/6pdjvRoFCj
Icybolt21,Fri Sep 07 14:45:59 +0000 2018,@AIP_World I agree with you 100%. You can achieve anything you want in this life. The only thing in the way is you. Once you truly believe in yourself the opportunities are endless! #anythingispossible #believe #goforit #justdoit #support #weekend #limitless
1818Blog,Fri Sep 07 14:45:59 +0000 2018,"Believe in something, even if it means sacrificing children. Just do it. #JustDoIt #JustBurnIt #Kapernik  https://t.co/JT6SuIilz6"
LordLionO1,Fri Sep 07 14:45:49 +0000 2018,"Y’all “be best”! As for me, I’m logging off the internet!!😂😂😂#justdoit #bebest #flotus #melaniatrump https://t.co/fMSwrLHfJs"
QCtyler704,Fri Sep 07 14:45:26 +0000 2018,@KingJames brand new release sold out in less than 20 minutes. YOU CANT TELL ME NIKE IS LOSING MONEY FOR COLIN KAEPERNICK!!!! I was so ready to cop those shoes too man. @Nike #JustDoIt
WindaWester,Fri Sep 07 14:45:18 +0000 2018,@aquarian1953 @MBryceLabat @Squanch_Me @SweResistance I'm guessing the dude probably answered the CL ad for people to attend the rally to be able to troll Chump. I won't be surprised if more of this happens. #BePlaidMan #JustDoIt
SubversiveWare,Fri Sep 07 14:45:03 +0000 2018,@spankamericainc Thank you. Together we can #justdoit✔️
antonynyasimi,Fri Sep 07 14:45:00 +0000 2018,"@Nike "" Don't ask if your dreams are crazy, ask if you are crazy enough"" #JustDoiT @Nike @BuzekiKiprop"
LARRY_EDUN,Fri Sep 07 14:44:39 +0000 2018,JUST DO IT ✔️ #JustDoIt #Nike #black #white https://t.co/hZktesT9Ja
TRA7198,Fri Sep 07 14:44:37 +0000 2018,"@realDonaldTrump They were thinking we got black kids buying $200 Jordan’s and young educated professionals buying $350 Nike Apple Watches and they could give a crap about some hick burning a $10 pair of socks that he already paid for 

#JustDoIt"
GulagGrogShoppe,Fri Sep 07 14:43:53 +0000 2018,"@carold501 when you need to sharpen your spoons, go see Cory … #JustDoIt"
JimmyHutabarat8,Fri Sep 07 14:43:45 +0000 2018,"@realDonaldTrump .      The people just agreed
   anomanously that you're the

   WORST PRESIDENT EVER !!

And for many centuries to come.

So...please resign now ?!!

#DumpTrump #JustDoIt #WhiteSupremacy #MAGA #Resist #ImpeachTrump"
kentuckygrandma,Fri Sep 07 14:43:43 +0000 2018,"Make her famous for showing her ""respect"" for the flag by using it as a snot rag. #JustDoIt https://t.co/crncGZJ4Pm"
Cash_Bawla,Fri Sep 07 14:43:38 +0000 2018,"✔ #justdoit✔️ 
#justdoit Challenge https://t.co/WZHBbg0p0M"
ProudBased,Fri Sep 07 14:43:25 +0000 2018,To the real hero. #MAGA #JustDoIt #Nike #JustBlewIt #Christmas https://t.co/yWjTFGeuqk
hayleybekah,Fri Sep 07 14:43:21 +0000 2018,"Oh are we sharing our Nikes?

I've bought #Nike for years and I don't plan on stopping. I'm probably due for a new pair soon too! Had these for quite a while and wear them daily 💚 #JustDoIt https://t.co/epersPURxd"
TomahawkVol,Fri Sep 07 14:43:20 +0000 2018,@nikestore @usnikefootball here’s another story worth getting behind. Help those in need. #justdoit #vols #gbo #VFL https://t.co/9oxhanXlKJ
866OURVOTE,Fri Sep 07 14:43:14 +0000 2018,Voting. #JustDoIt https://t.co/XzpqV60aS8
staggs8309,Fri Sep 07 14:43:14 +0000 2018,"A true inspirational American with a positive message. #JustDoIt #TakeAKnee
(Watch) Nike Airs First Colin Kaepernick Commercial With an Incredibly Inspirational Message https://t.co/KydjcooC5N via HillReporter"
BlkLightDisco,Fri Sep 07 14:43:09 +0000 2018,@PerfumeFlogger @Mihero @realDonaldTrump #JustDoIt ...and he did.
Josh_Orange99,Fri Sep 07 14:43:08 +0000 2018,Separate the man and the movement. The movement has value. Kap WAS a backup QB that threw a tantrum for getting benched. His motives were not of sacrifice until some PR mastermind taught him how to turn his tantrum into a paycheck. #JustDoIt https://t.co/D8umlOLeMu
dntorres00,Fri Sep 07 14:43:02 +0000 2018,@Reuters Why? Because that's what Russia does. Oppose. They don't need a reason for it. They #JustDoIt like #Nike 😊
_DiCato,Fri Sep 07 14:42:35 +0000 2018,People forget that these success business are successful because they know how to bring in revenue and have great marketing strategies #justdoit #NikeAd “Why Nike’s Ad Is A Donald Trump Strategy” @loymachedo https://t.co/FJuBiLMqth
F_M_Stevenson,Fri Sep 07 14:42:08 +0000 2018,They were probably thinking they don’t care if bigots don’t buy their shoes anymore. There are plenty of good people who will. #nike #JustDoIt https://t.co/25r5bss6z7
XZeroano,Fri Sep 07 14:42:06 +0000 2018,"#DumpNike
#JustDoIt 

@NewBalanceUSA you just sold some shoes!  God Bless! And keep on #MAGA

@POTUS 
#QAnon https://t.co/KZRuSWHbCh"
stantherunner,Fri Sep 07 14:42:01 +0000 2018,(Watch) Nike Airs First Colin Kaepernick Commercial With an Incredibly Inspirational Message #SupportNike #SupportKaepernick #JustDoIt https://t.co/2sXzKrMqx1 via HillReporter
GPursuit_DJay,Fri Sep 07 14:41:49 +0000 2018,"If Tom Brady took a knee during Sunday’s anthem and said it was to spread awareness to the abuse of woman in this country, I wonder if it would be viewed as disrespect? #JustDoIt https://t.co/3V8JXx2RHY"
MarcInSF415,Fri Sep 07 14:41:09 +0000 2018,"This is not a game! This #RealEstate #lifestyle is all about timing and the Time is now for some but you won’t know unless you call me so #justdoit #nike #Realtor @ San Francisco, California https://t.co/BfNK7Mfk03"
toniblaque,Fri Sep 07 14:41:09 +0000 2018,"#Repost @nike
• • •
You can take the superhero out of her costume, but you can never take away her superpowers. #justdoit 
I love @serenawilliams and so inspired by her #intelligence… https://t.co/IQ1kilU9wj"
sigarda,Fri Sep 07 14:41:01 +0000 2018,"You spent so much to acquire it, spend a little extra to ensure you never lose it. #InsureIt #JustDoIt #EnsureInsurance @ Lagos, Nigeria https://t.co/gZNcpDZ91X"
PEICoffeeCo,Fri Sep 07 14:40:40 +0000 2018,"Just Brew It.
#nike #homage #justdoit 
#yes #coffee @ Charlottetown, Prince Edward Island https://t.co/THy1i8Njiy"
zanesimon,Fri Sep 07 14:40:31 +0000 2018,"Never been more proud to wear 'em!!

#lovetrumpshate #justdoit #nike https://t.co/KGQZIbG2RJ"
trepoleth,Fri Sep 07 14:39:56 +0000 2018,I liked a @YouTube video https://t.co/7ppGnp6rqG #SACRIFICE ft. CAMBATTA BLUE PILL RED PILL #JUSTDOIT #NIKE #KAEPERNICK
AnnieK42,Fri Sep 07 14:39:47 +0000 2018,"@Nike if you were running for President you would have my vote!  #NikeCommercial #nike #justdoit glad you were “crazy enough” to just go for it with this campaign.  It’s time to sell more than shoes, it’s time to take a stand - Our Freedoms are everything https://t.co/kSqmrmMu2u"
HarryEdwardsSlu,Fri Sep 07 14:39:35 +0000 2018,"We firmly believe in #Jewelry and you should to 😄 

#BelieveInSomething #JustDoIt 
#HarryEdwardsJewelers #HarryEdwards #StLucia #SaintLucia #dutyfree #PointeSeraphine #LaPlaceCarenage #HewanorraAirport https://t.co/sqS1rbJLqn"
rdport63,Fri Sep 07 14:39:23 +0000 2018,"Colin Kaepernick Nike Commercial | FULL VIDEO https://t.co/zusI2X0Qd8 via @YouTube  

#justdoit - buying my nike stock today!!!"
BeverlyBednarc1,Fri Sep 07 14:39:01 +0000 2018,@DeepStateShu @wyer222 @SaneSophisticat @wildweezle @Aprylsmithts @teenytinyflame @Carmenr1Carmen @DinaSaS69 @fenrir_71 @Mschade2020 @10MinutesaDay4U @LockeShiny @holachola @DiXiEjO68 @GomesChantel @media_auntie @TaggartRehnn @Sbuttsie @RobertVosFrere @TheRealJTIII @YerOpinion @LLaws2 @BandieraNancy @VeronicaDevine6 @impeach_45NOW @impinkestgirl @4everNeverTrump @Momof3gngrs @heretical_1 @robinandriver @BJSquirrel @ginadem @MarciaBunney @yolalindayola @cy_guevara @rmontanez3rd @stylecounsel_30 @Ruetheday852 @motherof2wolves I hope you support the Nike Campaign. #JustDoIt PROGRESS IS NEEDED!
Randyconnectsu,Fri Sep 07 14:38:59 +0000 2018,Funday Friday!!! #JustDoIt @ElmDynamicDuo https://t.co/CSUT3ZZqma
kevin_sutter,Fri Sep 07 14:38:57 +0000 2018,"Trump asks what was Nike thinking? Well, I saw an ad that promoted the strength of the human spirit; to dream big and to do what others say you can’t; to overcome obstacles and to stand for something more than just sport. That’s what Nike is thinking. #JustDoIt"
themexican734,Fri Sep 07 14:38:45 +0000 2018,"@realDonaldTrump They're on an Ultra Instinct level #JustDoIt, while if you even try to think some asks, ""What's burning?"""
KingCorky74,Fri Sep 07 14:38:40 +0000 2018,@realDonaldTrump That they sell shoes to the people being gunned down by cops not the the ones who wear red hats that say MAGA good business move #JustDoIt #Nikes
secondlifecoach,Fri Sep 07 14:38:29 +0000 2018,"The dude abides. 

#funnymemes #funny #fridayfunnies #justdoit #ornot #gottalaugh @ Orlando, Florida https://t.co/3KcCmNQJIv"
ronlocke,Fri Sep 07 14:38:21 +0000 2018,Yes I agree #justdoit even the ad about young women in #arb country taking off there #hijab just do it stop being forced by a dictatorship like the hilter symbol of control.. still a old country will always countrol a old religious country with no standard toward women https://t.co/SPhWx9318b
SusanKBradford,Fri Sep 07 14:38:10 +0000 2018,@realDonaldTrump You REFILLED the swamp w your own criminals. #ResignNow or be impeached! #JustDoIt
sourabhjoshi101,Fri Sep 07 14:38:00 +0000 2018,"Just do it.
I believe in.

#JustDoIt #Nike #Groot #Marvel #MCU https://t.co/BbYjRtxMch"
avoiceofliberty,Fri Sep 07 14:37:56 +0000 2018,"The irony of #Nike using the hapless #ColinKaepernick in their ads is that #KimKardashian is the one walking the #JustDoIt walk on criminal justice reform.

Kaepernick is just empty words and weak knees.

https://t.co/igRezqyrog"
Nodnarb_Bran,Fri Sep 07 14:37:51 +0000 2018,Don’t ask if your dreams are crazy. Ask if they are crazy enough!!! #Nike #JustDoIt
levi__allen,Fri Sep 07 14:37:46 +0000 2018,We criticize our government because we love our country. If we didn't love it we wouldn't give a sh#t. Vote on November 6th. #ColinKaepernick #JustDoIt #GetOutAndVote #FreePress #FreeSpeech
Nanu4Equality,Fri Sep 07 14:37:21 +0000 2018,Wow talk about disrespecting the flag. She is using the 🇺🇸 to wipe her nose!! Bet she’s one of those outraged with #Nike #JustDoIt https://t.co/RHqumiJMe5
IAmDjKc913,Fri Sep 07 14:37:08 +0000 2018,"WHAT YOU THINK❓👽 
Thanks To lightupmasks For The Amazing Mask‼️ 
IT’S READY FOR ACTION🛸🛸🛸🛸

#IWantDjKC DM a_gifted_touch_talent 
#TheMixxShowAssaSSin👽 #justdoit #scratchdj… https://t.co/7TkqXwgMAY"
StitchesATL,Fri Sep 07 14:36:58 +0000 2018,#justdoit start your own #merch build your own #brnd be your own #boss https://t.co/QUIx2Gqsji
